Country/Region,Date,Confirmed Cases,Days,Log Confirmed Cases
Belgium,2020-01-22,0,1,-inf
Belgium,2020-01-23,0,2,-inf
Belgium,2020-01-24,0,3,-inf
Belgium,2020-01-25,0,4,-inf
Belgium,2020-01-26,0,5,-inf
Belgium,2020-01-27,0,6,-inf
Belgium,2020-01-28,0,7,-inf
Belgium,2020-01-29,0,8,-inf
Belgium,2020-01-30,0,9,-inf
Belgium,2020-01-31,0,10,-inf
Belgium,2020-02-01,0,11,-inf
Belgium,2020-02-02,0,12,-inf
Belgium,2020-02-03,0,13,-inf
Belgium,2020-02-04,1,14,0.0
Belgium,2020-02-05,1,15,0.0
Belgium,2020-02-06,1,16,0.0
Belgium,2020-02-07,1,17,0.0
Belgium,2020-02-08,1,18,0.0
Belgium,2020-02-09,1,19,0.0
Belgium,2020-02-10,1,20,0.0
Belgium,2020-02-11,1,21,0.0
Belgium,2020-02-12,1,22,0.0
Belgium,2020-02-13,1,23,0.0
Belgium,2020-02-14,1,24,0.0
Belgium,2020-02-15,1,25,0.0
Belgium,2020-02-16,1,26,0.0
Belgium,2020-02-17,1,27,0.0
Belgium,2020-02-18,1,28,0.0
Belgium,2020-02-19,1,29,0.0
Belgium,2020-02-20,1,30,0.0
Belgium,2020-02-21,1,31,0.0
Belgium,2020-02-22,1,32,0.0
Belgium,2020-02-23,1,33,0.0
Belgium,2020-02-24,1,34,0.0
Belgium,2020-02-25,1,35,0.0
Belgium,2020-02-26,1,36,0.0
Belgium,2020-02-27,1,37,0.0
Belgium,2020-02-28,1,38,0.0
Belgium,2020-02-29,1,39,0.0
Belgium,2020-03-01,2,40,0.6931471805599453
Belgium,2020-03-02,8,41,2.0794415416798357
Belgium,2020-03-03,13,42,2.5649493574615367
Belgium,2020-03-04,23,43,3.1354942159291497
Belgium,2020-03-05,50,44,3.912023005428146
Belgium,2020-03-06,109,45,4.6913478822291435
Belgium,2020-03-07,169,46,5.1298987149230735
Belgium,2020-03-08,200,47,5.298317366548036
Belgium,2020-03-09,239,48,5.476463551931511
Belgium,2020-03-10,267,49,5.58724865840025
Belgium,2020-03-11,314,50,5.749392985908253
Belgium,2020-03-12,314,51,5.749392985908253
Belgium,2020-03-13,559,52,6.326149473155099
Belgium,2020-03-14,689,53,6.535241271013659
Belgium,2020-03-15,886,54,6.786716950605081
Belgium,2020-03-16,1058,55,6.964135612418245
Belgium,2020-03-17,1243,56,7.1252830915107115
Belgium,2020-03-18,1486,57,7.303843225277705
Belgium,2020-03-19,1795,58,7.492760300922379
Belgium,2020-03-20,2257,59,7.721791776817535
Belgium,2020-03-21,2815,60,7.942717540573791
Belgium,2020-03-22,3401,61,8.131824785007195
Belgium,2020-03-23,3743,62,8.22764270790443
Belgium,2020-03-24,4269,63,8.359134886757962
